Geracoes: 100000
Tamanho populacao100
Hora de inicio: 1509968810487
Instancia: instancia11

Geracao: 99 MelhorSolucao: 1884270
Geracao: 199 MelhorSolucao: 1833885
Geracao: 299 MelhorSolucao: 1806030
Geracao: 399 MelhorSolucao: 1743750
Geracao: 499 MelhorSolucao: 1687995
Geracao: 599 MelhorSolucao: 1615815
Geracao: 699 MelhorSolucao: 1566795
Geracao: 799 MelhorSolucao: 1517460
Geracao: 899 MelhorSolucao: 1486440
Geracao: 999 MelhorSolucao: 1448580
Geracao: 1099 MelhorSolucao: 1395450
Geracao: 1199 MelhorSolucao: 1324530
Geracao: 1299 MelhorSolucao: 1271820
Geracao: 1399 MelhorSolucao: 1224375
Geracao: 1499 MelhorSolucao: 1176615
Geracao: 1599 MelhorSolucao: 1152225
Geracao: 1699 MelhorSolucao: 1122360
Geracao: 1799 MelhorSolucao: 1093125
Geracao: 1899 MelhorSolucao: 1069680
Geracao: 1999 MelhorSolucao: 1018545
Geracao: 2099 MelhorSolucao: 968250
Geracao: 2199 MelhorSolucao: 906270
Geracao: 2299 MelhorSolucao: 866715
Geracao: 2399 MelhorSolucao: 838950
Geracao: 2499 MelhorSolucao: 800760
Geracao: 2599 MelhorSolucao: 768780
Geracao: 2699 MelhorSolucao: 753960
Geracao: 2799 MelhorSolucao: 744720
Geracao: 2899 MelhorSolucao: 736635
Geracao: 2999 MelhorSolucao: 728970
Geracao: 3099 MelhorSolucao: 722460
Geracao: 3199 MelhorSolucao: 704580
Geracao: 3299 MelhorSolucao: 675750
Geracao: 3399 MelhorSolucao: 654705
Geracao: 3499 MelhorSolucao: 622500
Geracao: 3599 MelhorSolucao: 595875
Geracao: 3699 MelhorSolucao: 552615
Geracao: 3799 MelhorSolucao: 533355
Geracao: 3899 MelhorSolucao: 520200
Geracao: 3999 MelhorSolucao: 513570
Geracao: 4099 MelhorSolucao: 488835
Geracao: 4199 MelhorSolucao: 476310
Geracao: 4299 MelhorSolucao: 457470
Geracao: 4399 MelhorSolucao: 451260
Geracao: 4499 MelhorSolucao: 444735
Geracao: 4599 MelhorSolucao: 444630
Geracao: 4699 MelhorSolucao: 444630
Geracao: 4799 MelhorSolucao: 444630
Geracao: 4899 MelhorSolucao: 438420
Geracao: 4999 MelhorSolucao: 432315
Geracao: 5099 MelhorSolucao: 426210
Geracao: 5199 MelhorSolucao: 426210
Geracao: 5299 MelhorSolucao: 426210
Geracao: 5399 MelhorSolucao: 426210
Geracao: 5499 MelhorSolucao: 420105
Geracao: 5599 MelhorSolucao: 420105
Geracao: 5699 MelhorSolucao: 420105
Geracao: 5799 MelhorSolucao: 420105
Geracao: 5899 MelhorSolucao: 420105
Geracao: 5999 MelhorSolucao: 420105
Geracao: 6099 MelhorSolucao: 420105
Geracao: 6199 MelhorSolucao: 420105
Geracao: 6299 MelhorSolucao: 420105
Geracao: 6399 MelhorSolucao: 420105
Geracao: 6499 MelhorSolucao: 420105
Geracao: 6599 MelhorSolucao: 420105
Geracao: 6699 MelhorSolucao: 420105
Geracao: 6799 MelhorSolucao: 420105
Geracao: 6899 MelhorSolucao: 420105
Geracao: 6999 MelhorSolucao: 420105
Geracao: 7099 MelhorSolucao: 420105
Geracao: 7199 MelhorSolucao: 420105
Geracao: 7299 MelhorSolucao: 420105
Geracao: 7399 MelhorSolucao: 420105
