Geracoes: 100000
Tamanho populacao100
Hora de inicio: 1509453509436
Instancia: instancia10

Geracao: 99 MelhorSolucao: 946530
Geracao: 199 MelhorSolucao: 902355
Geracao: 299 MelhorSolucao: 875340
Geracao: 399 MelhorSolucao: 820950
Geracao: 499 MelhorSolucao: 760875
Geracao: 599 MelhorSolucao: 712800
Geracao: 699 MelhorSolucao: 659670
Geracao: 799 MelhorSolucao: 590745
Geracao: 899 MelhorSolucao: 566880
Geracao: 999 MelhorSolucao: 549645
Geracao: 1099 MelhorSolucao: 532725
Geracao: 1199 MelhorSolucao: 522645
Geracao: 1299 MelhorSolucao: 507405
Geracao: 1399 MelhorSolucao: 482265
Geracao: 1499 MelhorSolucao: 446070
Geracao: 1599 MelhorSolucao: 393555
Geracao: 1699 MelhorSolucao: 342405
Geracao: 1799 MelhorSolucao: 297675
Geracao: 1899 MelhorSolucao: 266205
Geracao: 1999 MelhorSolucao: 247365
Geracao: 2099 MelhorSolucao: 234840
Geracao: 2199 MelhorSolucao: 216315
Geracao: 2299 MelhorSolucao: 216315
Geracao: 2399 MelhorSolucao: 210105
Geracao: 2499 MelhorSolucao: 210105
Geracao: 2599 MelhorSolucao: 210105
Geracao: 2699 MelhorSolucao: 210105
Geracao: 2799 MelhorSolucao: 210105
Geracao: 2899 MelhorSolucao: 210105
Geracao: 2999 MelhorSolucao: 210105
Geracao: 3099 MelhorSolucao: 210105
Geracao: 3199 MelhorSolucao: 210105
Geracao: 3299 MelhorSolucao: 210105
Geracao: 3399 MelhorSolucao: 210105
Geracao: 3499 MelhorSolucao: 210105
Geracao: 3599 MelhorSolucao: 210105
Geracao: 3699 MelhorSolucao: 210105
Geracao: 3799 MelhorSolucao: 210105
Geracao: 3899 MelhorSolucao: 210105
Geracao: 3999 MelhorSolucao: 210105
Geracao: 4099 MelhorSolucao: 210105
Geracao: 4199 MelhorSolucao: 210105
Geracao: 4299 MelhorSolucao: 210105
